,,,
1,2.05200,6.46600,10.33100
200,12.45500,69.15000,92.16000
400,26.07700,87.35500,224.28400
600,37.12100,50.55600,151.49400
800,47.06700,17.07000,78.56500
1000,58.36000,20.57100,61.39000
1200,68.59900,24.36100,67.43900
1400,81.12600,28.13100,71.94000
1600,92.89700,34.90500,91.29500
1800,106.00000,36.87100,86.34600
2000,118.42200,21.16900,98.21300
2200,128.19200,15.19000,105.03800
2400,141.92300,16.77900,109.42700
2600,146.42700,17.95900,33.76300
2800,166.09900,19.35000,19.71400
3000,176.47200,20.41700,21.03800
3200,196.00500,21.69600,22.54700
3400,200.79700,23.52600,23.58200
3600,196.09300,22.80900,23.34300
3800,208.06500,24.41500,23.19200
4000,205.28700,0.00000,0.00000
4200,217.97400,0.00000,0.00000
4400,187.69200,0.00000,0.00000
4600,73.91300,0.00000,0.00000
4800,64.62200,0.00000,0.00000
5000,82.80500,0.00000,0.00000
