,,,
1,1.79500,6.09000,10.05300
200,11.11300,39.23700,81.25300
400,22.30100,74.80200,166.34800
600,31.51400,98.77400,202.26700
800,40.40100,39.73600,65.73500
1000,53.53400,18.17300,57.90300
1200,62.80500,20.59500,56.33500
1400,72.12400,24.87300,76.08000
1600,102.92400,31.12500,78.01100
1800,92.75100,32.44600,73.40400
2000,99.04600,18.12200,95.98700
2200,112.36900,13.26300,25.73900
2400,124.74800,14.64800,15.95700
2600,143.20200,16.92300,17.26900
2800,156.45300,18.70500,19.84300
3000,176.91100,20.79400,21.30100
3200,190.04300,22.02500,23.08900
3400,198.15400,25.36800,25.86700
3600,232.25000,27.67600,27.51000
3800,246.66500,29.39500,28.45800
4000,260.52700,0.00000,0.00000
4200,275.97900,0.00000,0.00000
4400,58.28900,0.00000,0.00000
4600,61.32400,0.00000,0.00000
4800,62.04900,0.00000,0.00000
5000,63.40200,0.00000,0.00000
